hauteur droite ,hauteur gauche ,deltaH,tension,,
0.2,0.4,-0.2,1.20147,,
1,0.4,0.6,1.18132,,
2,0.4,1.6,1.1514,,
3,0.4,2.6,1.11844,,
4,0.4,3.6,1.08608,,
5,0.4,4.6,1.05311,,
6,0.4,5.6,1.01954,,
7.2,0.4,6.8,0.97741,,
8.3,0.4,7.9,0.94567,,
9.6,0.4,9.2,0.90476,,
11.6,0.4,11.2,0.83944,,
13.5,0.4,13.1,0.779,,
14.6,0.4,14.2,0.74908,,
16,0.4,15.6,0.70147,,
19.2,0.4,18.8,0.63472,,
1,0.5,0.5,1.18559,,
1,1,0,1.2033,,
1,2,-1,1.23443,,
1,3,-2,1.2619,,
1,4,-3,1.30159,,
1,5,-4,1.3315,,
1,6,-5,1.36142,,
1,7,-6,1.39744,,
1,8,-7,1.4304,,
1,9,-8,1.46581,,
1,10,-9,1.49328,,
1,11,-10,1.52259,,
1,12.2,-11.2,1.55556,,
1,13.2,-12.2,1.59076,,
1,14,-13,1.61355,,
1,17.5,-16.5,1.72222,,
1,20,-19,1.80342,,
1,25,-24,1.96581,,
1,30,-29,2.12332,,
1,36.5,-35.5,2.33516,,
1,41.2,-40.2,2.47192,,
1,45,-44,2.49039,,
