#,Date Time,Tension Volt (V),Temperature Temp (°C)
1,28/06/21 16:25:55,1.09670,19.604
2,28/06/21 16:26:55,1.09483,19.585
3,28/06/21 16:27:55,1.09545,19.607
4,28/06/21 16:28:55,1.15297,19.609
5,28/06/21 16:29:55,1.15446,19.649
6,28/06/21 16:30:55,1.19741,19.642
7,28/06/21 16:31:55,1.23560,19.642
8,28/06/21 16:32:55,1.29091,19.661
9,28/06/21 16:33:55,1.29152,19.659
10,28/06/21 16:34:55,1.29351,19.680
11,28/06/21 16:35:55,1.34966,19.659
12,28/06/21 16:36:55,1.35500,19.659
13,28/06/21 16:37:55,1.41966,19.661
14,28/06/21 16:38:55,1.42073,19.659
15,28/06/21 16:39:55,1.46796,19.646
16,28/06/21 16:40:55,1.46708,19.649
17,28/06/21 16:41:55,1.53910,19.621
18,28/06/21 16:42:55,1.53876,19.633
19,28/06/21 16:43:55,1.53906,19.621
20,28/06/21 16:44:55,1.53758,19.598
21,28/06/21 16:45:55,1.53769,19.587
22,28/06/21 16:46:55,1.53761,19.567
23,28/06/21 16:47:55,1.59121,19.567
24,28/06/21 16:48:55,1.59125,19.566
25,28/06/21 16:49:55,1.59270,19.588
26,28/06/21 16:50:55,1.67803,19.618
27,28/06/21 16:51:55,1.67350,19.601
28,28/06/21 16:52:55,1.73327,19.621
29,28/06/21 16:53:55,1.73251,19.627
30,28/06/21 16:54:55,1.81071,19.624
31,28/06/21 16:55:55,1.81109,19.613
32,28/06/21 16:56:55,1.88365,19.627
33,28/06/21 16:57:55,1.88479,19.636
34,28/06/21 16:58:55,1.93839,19.642
35,28/06/21 16:59:55,1.93771,19.633
36,28/06/21 17:00:55,1.93774,19.619
37,28/06/21 17:01:55,1.99931,19.643
38,28/06/21 17:02:55,2.07153,19.625
39,28/06/21 17:03:55,2.06916,19.627
40,28/06/21 17:04:55,2.15507,19.653
41,28/06/21 17:05:55,2.15545,19.642
42,28/06/21 17:06:55,2.22976,19.645
43,28/06/21 17:07:55,2.22755,19.645
44,28/06/21 17:08:55,2.22713,19.630
45,28/06/21 17:09:55,2.29427,19.642
46,28/06/21 17:10:55,2.29259,19.643
47,28/06/21 17:11:55,2.37633,19.694
48,28/06/21 17:12:55,2.37602,19.703
49,28/06/21 17:13:55,2.37575,19.707
50,28/06/21 17:14:55,2.45068,19.722
51,28/06/21 17:15:55,2.44968,19.740
52,28/06/21 17:16:55,2.45022,19.734
53,28/06/21 17:17:55,2.45014,19.734
54,28/06/21 17:18:55,2.49996,19.740
55,28/06/21 17:19:55,2.49996,19.781
56,28/06/21 17:20:55,2.49996,19.814
57,28/06/21 17:21:55,2.49996,19.819
58,28/06/21 17:22:55,2.47684,19.826
59,28/06/21 17:23:55,2.49996,19.805
60,28/06/21 17:24:55,2.49996,19.789
61,28/06/21 17:25:55,2.49996,19.778
62,28/06/21 17:26:55,2.49996,19.766
63,28/06/21 17:27:55,2.38251,19.768
64,28/06/21 17:28:55,2.37903,19.735
65,28/06/21 17:29:55,2.29519,19.735
66,28/06/21 17:30:55,2.29622,19.735
67,28/06/21 17:31:55,2.18097,19.743
68,28/06/21 17:32:55,2.17609,19.746
69,28/06/21 17:33:55,2.10594,19.744
70,28/06/21 17:34:55,2.09739,19.749
71,28/06/21 17:35:55,1.99630,19.740
72,28/06/21 17:36:55,1.99954,19.717
73,28/06/21 17:37:55,1.86713,19.662
74,28/06/21 17:38:55,1.77119,19.616
75,28/06/21 17:39:55,1.77710,19.575
76,28/06/21 17:40:55,1.69680,19.576
77,28/06/21 17:41:55,1.69875,19.594
78,28/06/21 17:42:55,1.60727,19.594
79,28/06/21 17:43:55,1.60540,19.601
80,28/06/21 17:44:55,1.60426,19.625
81,28/06/21 17:45:55,1.53265,19.647
82,28/06/21 17:46:55,1.53243,19.662
83,28/06/21 17:47:55,1.41962,19.665
84,28/06/21 17:48:55,1.41958,19.677
85,28/06/21 17:49:55,1.42084,19.683
86,28/06/21 17:50:55,1.35180,19.679
87,28/06/21 17:51:55,1.35325,19.691
88,28/06/21 17:52:55,1.28542,19.688
89,28/06/21 17:53:55,1.28771,19.686
90,28/06/21 17:54:55,1.28050,19.744
91,28/06/21 17:55:55,1.17918,19.714
92,28/06/21 17:56:55,1.16487,19.704
93,28/06/21 17:57:55,1.16514,19.700
94,28/06/21 17:58:55,1.16503,19.677
